strategy,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,params,output_dir
buy-and-hold,1.92253056,10192.25305633,-1.68748531,1,4.0,0.01082051,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,{},reports/backtests/all_strategies_btc_3d/buy-and-hold
myquant-rsi-long,-1.93348062,9806.65193798,-3.15704805,171,467.54698992,-0.01549168,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""period"": 14, ""oversold"": 30, ""overbought"": 70, ""short_enabled"": false}",reports/backtests/all_strategies_btc_3d/myquant-rsi-long
sma-cross-20-60,-3.59570928,9640.42907234,-4.208992,126,328.92656096,-0.02661899,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""fast"": 20, ""slow"": 60}",reports/backtests/all_strategies_btc_3d/sma-cross-20-60
whale-volume-tuned-24h,-3.97709728,9602.29027161,-4.08006198,320,322.75858455,-0.05571911,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""volume_lookback"": 21, ""spike_multiplier"": 4.5, ""volume_drop_ratio"": 0.2, ""pullback_tolerance_pct"": 0.1, ""breakout_buffer_pct"": 0, ""step_weight"": 0.2, ""max_abs_weight"": 1}",reports/backtests/all_strategies_btc_3d/whale-volume-tuned-24h
momentum-120,-8.24705688,9175.29431175,-8.43492992,271,782.31855966,-0.05899725,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""lookback"": 120, ""top_n"": 1}",reports/backtests/all_strategies_btc_3d/momentum-120
whale-volume-default,-8.89941165,9110.05883534,-8.96184538,889,841.80296183,-0.11565604,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,{},reports/backtests/all_strategies_btc_3d/whale-volume-default
myquant-macd,-12.98946998,8701.05300151,-13.38924391,696,818.97647864,-0.07426299,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""fast_period"": 12, ""slow_period"": 26, ""signal_period"": 9, ""short_enabled"": true}",reports/backtests/all_strategies_btc_3d/myquant-macd
myquant-turtle,-14.70644918,8529.35508175,-14.70644918,507,1146.20655032,-0.09636137,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""entry_period"": 20, ""exit_period"": 10, ""short_enabled"": true}",reports/backtests/all_strategies_btc_3d/myquant-turtle
myquant-boll-trend,-20.39016405,7960.98359521,-20.68170857,1942,1787.11570621,-0.11578561,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""period"": 20, ""deviation"": 2, ""short_enabled"": true}",reports/backtests/all_strategies_btc_3d/myquant-boll-trend
myquant-ma-cross,-34.6279105,6537.20895039,-34.66280959,501,3269.07567999,-0.20340196,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""period"": 20, ""short_enabled"": true}",reports/backtests/all_strategies_btc_3d/myquant-ma-cross
example-3-candle-momentum,-42.99264293,5700.73570652,-43.02055323,2024,4519.704986,-0.36801549,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""lookback"": 3}",reports/backtests/all_strategies_btc_3d/example-3-candle-momentum
