strategy,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,params,output_dir
buy-and-hold,3.09846512,10309.84651217,-3.07323768,1,4.0,0.01183953,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,{},reports/backtests/all_strategies_eth_3d/buy-and-hold
whale-volume-tuned-24h,-0.48537002,9951.46299769,-1.63704042,312,299.51195884,-0.00314533,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""volume_lookback"": 21, ""spike_multiplier"": 4.5, ""volume_drop_ratio"": 0.2, ""pullback_tolerance_pct"": 0.1, ""breakout_buffer_pct"": 0, ""step_weight"": 0.2, ""max_abs_weight"": 1}",reports/backtests/all_strategies_eth_3d/whale-volume-tuned-24h
sma-cross-20-60,-1.60356364,9839.64363594,-3.58611671,128,344.21847847,-0.0075747,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""fast"": 20, ""slow"": 60}",reports/backtests/all_strategies_eth_3d/sma-cross-20-60
myquant-rsi-long,-2.2401169,9775.98830992,-3.87174953,159,443.15865191,-0.01344555,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""period"": 14, ""oversold"": 30, ""overbought"": 70, ""short_enabled"": false}",reports/backtests/all_strategies_eth_3d/myquant-rsi-long
momentum-120,-5.89631003,9410.3689974,-6.98897869,234,676.10172935,-0.02813886,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""lookback"": 120, ""top_n"": 1}",reports/backtests/all_strategies_eth_3d/momentum-120
whale-volume-default,-7.27914685,9272.08531507,-7.53213829,888,860.33951476,-0.05993888,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,{},reports/backtests/all_strategies_eth_3d/whale-volume-default
myquant-turtle,-13.67327496,8632.67250379,-13.67327496,490,1112.16093019,-0.06154568,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""entry_period"": 20, ""exit_period"": 10, ""short_enabled"": true}",reports/backtests/all_strategies_eth_3d/myquant-turtle
myquant-macd,-13.91156005,8608.8439955,-14.0569492,772,865.10948096,-0.05531124,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""fast_period"": 12, ""slow_period"": 26, ""signal_period"": 9, ""short_enabled"": true}",reports/backtests/all_strategies_eth_3d/myquant-macd
myquant-boll-trend,-18.55426654,8144.57334577,-18.67892312,2106,1731.12621629,-0.07433429,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""period"": 20, ""deviation"": 2, ""short_enabled"": true}",reports/backtests/all_strategies_eth_3d/myquant-boll-trend
myquant-ma-cross,-33.99344986,6600.65501411,-34.28507678,522,3389.83178226,-0.14535415,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""period"": 20, ""short_enabled"": true}",reports/backtests/all_strategies_eth_3d/myquant-ma-cross
example-3-candle-momentum,-42.70233966,5729.76603426,-42.70879876,2041,4541.43030839,-0.26328063,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,"{""lookback"": 3}",reports/backtests/all_strategies_eth_3d/example-3-candle-momentum
