strategy,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,params,output_dir
buy-and-hold,5.04808874,10504.80887413,-5.22571394,1,4.0,0.0127451,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,{},reports/backtests/all_strategies_hype_3d/buy-and-hold
whale-volume-tuned-24h,0.83700524,10083.70052351,-4.57230909,170,154.74401543,0.00365347,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,"{""volume_lookback"": 21, ""spike_multiplier"": 4.5, ""volume_drop_ratio"": 0.2, ""pullback_tolerance_pct"": 0.1, ""breakout_buffer_pct"": 0, ""step_weight"": 0.2, ""max_abs_weight"": 1}",reports/backtests/all_strategies_hype_3d/whale-volume-tuned-24h
myquant-rsi-long,-0.11337278,9988.66272192,-3.29177277,151,417.49886472,-9.237e-05,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,"{""period"": 14, ""oversold"": 30, ""overbought"": 70, ""short_enabled"": false}",reports/backtests/all_strategies_hype_3d/myquant-rsi-long
sma-cross-20-60,-5.30700927,9469.29907316,-9.36362017,128,331.55856583,-0.01812269,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,"{""fast"": 20, ""slow"": 60}",reports/backtests/all_strategies_hype_3d/sma-cross-20-60
momentum-120,-7.51105341,9248.89465939,-12.72389812,285,801.54390163,-0.02439899,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,"{""lookback"": 120, ""top_n"": 1}",reports/backtests/all_strategies_hype_3d/momentum-120
whale-volume-default,-10.47048573,8952.9514265,-11.54279459,694,630.58208923,-0.05553233,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,{},reports/backtests/all_strategies_hype_3d/whale-volume-default
myquant-turtle,-12.73348105,8726.65189521,-13.09354571,487,1075.74692288,-0.03843351,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,"{""entry_period"": 20, ""exit_period"": 10, ""short_enabled"": true}",reports/backtests/all_strategies_hype_3d/myquant-turtle
myquant-macd,-13.70670891,8629.32910924,-16.00774153,790,785.11152941,-0.03601655,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,"{""fast_period"": 12, ""slow_period"": 26, ""signal_period"": 9, ""short_enabled"": true}",reports/backtests/all_strategies_hype_3d/myquant-macd
myquant-boll-trend,-28.79940539,7120.05946076,-29.32108254,2232,1729.87743355,-0.08257734,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,"{""period"": 20, ""deviation"": 2, ""short_enabled"": true}",reports/backtests/all_strategies_hype_3d/myquant-boll-trend
myquant-ma-cross,-38.68910488,6131.0895119,-38.88026915,544,3364.96329326,-0.11762336,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,"{""period"": 20, ""short_enabled"": true}",reports/backtests/all_strategies_hype_3d/myquant-ma-cross
example-3-candle-momentum,-45.55942939,5444.05706117,-45.55942939,2007,4393.33140298,-0.20669638,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,"{""lookback"": 3}",reports/backtests/all_strategies_hype_3d/example-3-candle-momentum
