rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
1,608,8,4,0.4,4,0.03,0.3,0.02159269,10002.15926865,-0.90567483,971,115.52764668,0.00059071,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
2,554,8,3.5,0.4,4,0.03,0.3,-0.25603158,9974.39684161,-1.0980522,909,108.0413595,-0.00644044,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
3,607,8,4,0.4,4,0.03,0.15,-0.27920355,9972.07964503,-0.55522534,713,85.38998132,-0.01269609,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
4,230,5,2.5,0.4,4,0.03,0.3,-0.29286284,9970.71371592,-0.808001,797,95.28320264,-0.00877678,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
5,716,13,3,0.4,4,0.03,0.3,-0.319474,9968.0526002,-1.08954468,892,106.16164239,-0.00814336,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
6,824,13,4,0.4,4,0.03,0.3,-0.39271861,9960.72813921,-1.06593048,901,107.55953515,-0.0093305,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
7,446,8,2.5,0.4,4,0.03,0.3,-0.40299843,9959.70015706,-0.97155707,880,105.1646476,-0.01101969,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
8,338,5,3.5,0.4,4,0.03,0.3,-0.4070587,9959.29412999,-1.03458881,863,102.89412161,-0.01066791,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
9,500,8,3,0.4,4,0.03,0.3,-0.42989855,9957.01014527,-1.02264299,898,106.8172686,-0.01105675,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
10,610,8,4,0.4,4,0.05,0.3,-0.43142787,9956.85721324,-1.09391427,782,155.79911016,-0.01003299,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
11,553,8,3.5,0.4,4,0.03,0.15,-0.43445345,9956.55465453,-0.7147288,689,82.47096884,-0.02019635,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
12,770,13,3.5,0.4,4,0.03,0.3,-0.44126775,9955.87322543,-1.10169059,888,105.60707555,-0.0105175,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
13,392,5,4,0.4,4,0.03,0.3,-0.45034376,9954.96562439,-1.19848709,868,103.18548016,-0.01106942,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
14,757,13,3.5,0.4,2,0.03,0.15,-0.47398248,9952.60175154,-0.74023179,832,99.4736076,-0.02134873,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
15,609,8,4,0.4,4,0.05,0.15,-0.48916687,9951.08331281,-0.68992632,523,104.29111054,-0.02066886,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
16,337,5,3.5,0.4,4,0.03,0.15,-0.49077618,9950.92238215,-0.74569798,667,79.83697853,-0.02321024,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
17,662,13,2.5,0.4,4,0.03,0.3,-0.50762077,9949.23792292,-1.20524127,886,105.68412579,-0.01338522,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
18,823,13,4,0.4,4,0.03,0.15,-0.51398613,9948.60138697,-0.68950475,669,80.07988862,-0.0229301,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
19,67,3,3,0.4,4,0.03,0.15,-0.54286917,9945.71308288,-0.70257757,563,67.37170773,-0.02743693,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
20,410,5,4,0.5,4,0.03,0.3,-0.54590741,9945.40925884,-1.14475733,917,108.87922746,-0.01358568,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
21,284,5,3,0.4,4,0.03,0.3,-0.54951618,9945.04838229,-0.96176998,860,102.86088909,-0.01557069,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
22,445,8,2.5,0.4,4,0.03,0.15,-0.55490861,9944.50913911,-0.69627376,703,84.11435714,-0.0269867,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
23,769,13,3.5,0.4,4,0.03,0.15,-0.56575573,9943.4244268,-0.76159038,641,76.73749524,-0.02479384,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
24,644,8,4,0.6,4,0.03,0.3,-0.56826034,9943.17396609,-1.12701052,1034,123.27776854,-0.01456556,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
25,643,8,4,0.6,4,0.03,0.15,-0.57248707,9942.75129325,-0.74038176,785,93.90822027,-0.02715046,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
26,626,8,4,0.5,4,0.03,0.3,-0.57988063,9942.01193707,-1.0329663,1010,120.22128022,-0.01478499,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
27,391,5,4,0.4,4,0.03,0.15,-0.58340441,9941.65955855,-0.84603086,663,79.34066593,-0.02662148,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
28,859,13,4,0.6,4,0.03,0.15,-0.59009824,9940.99017597,-0.74588572,681,81.51449652,-0.02654927,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
29,811,13,4,0.4,2,0.03,0.15,-0.5914947,9940.85052982,-0.86932966,805,96.15362922,-0.0261052,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
30,427,5,4,0.6,4,0.03,0.15,-0.59418908,9940.58109202,-0.80422999,769,92.00017837,-0.0274665,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
31,835,13,4,0.5,3,0.03,0.15,-0.59810229,9940.18977069,-0.91426307,727,86.86577152,-0.02594228,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
32,409,5,4,0.5,4,0.03,0.15,-0.60302578,9939.69742213,-0.76135918,721,86.27584593,-0.02728317,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
33,229,5,2.5,0.4,4,0.03,0.15,-0.60752903,9939.24709712,-0.75196213,663,79.36134278,-0.03056019,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
34,625,8,4,0.5,4,0.03,0.15,-0.60753126,9939.24687372,-0.72010314,771,92.23374783,-0.02843875,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
35,434,8,2.5,0.4,2,0.03,0.3,-0.61110257,9938.88974275,-1.00736707,1378,163.82834296,-0.0172716,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
36,775,13,3.5,0.5,2,0.03,0.15,-0.61421546,9938.57845389,-0.89131039,847,101.20367049,-0.02760616,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
37,403,5,4,0.5,3,0.03,0.15,-0.61637595,9938.36240508,-0.69264748,739,88.39597649,-0.02720803,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
38,758,13,3.5,0.4,2,0.03,0.3,-0.61735923,9938.26407739,-1.17077158,1232,145.62118069,-0.01542558,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
39,373,5,3.5,0.6,4,0.03,0.15,-0.61785236,9938.21476424,-0.82143567,809,96.74619483,-0.02969528,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
40,355,5,3.5,0.5,4,0.03,0.15,-0.62060486,9937.93951402,-0.7745782,743,88.85453917,-0.02990421,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
41,499,8,3,0.4,4,0.03,0.15,-0.62737281,9937.26271879,-0.74809492,695,83.17742951,-0.02929996,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
42,715,13,3,0.4,4,0.03,0.15,-0.63573084,9936.42691614,-0.82727206,671,80.31887509,-0.02922599,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
43,25,3,2.5,0.5,3,0.03,0.15,-0.63790218,9936.20978228,-0.79259314,753,90.03417596,-0.03331385,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
44,837,13,4,0.5,3,0.05,0.15,-0.64262145,9935.73785513,-0.96790765,519,103.37490464,-0.02647647,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
45,43,3,2.5,0.6,3,0.03,0.15,-0.64942991,9935.05700862,-0.77802122,843,100.90295894,-0.03530562,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
46,356,5,3.5,0.5,4,0.03,0.3,-0.65154657,9934.84534323,-1.20301735,930,110.61287068,-0.01719946,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
47,374,5,3.5,0.6,4,0.03,0.3,-0.65730557,9934.26944308,-1.27160534,1008,119.94418742,-0.01794848,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
48,421,5,4,0.6,3,0.03,0.15,-0.65856201,9934.14379907,-0.68181686,811,96.99343146,-0.02967845,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
49,841,13,4,0.5,4,0.03,0.15,-0.65936944,9934.06305601,-0.76656422,677,81.01777059,-0.02962609,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
50,428,5,4,0.6,4,0.03,0.3,-0.66113882,9933.88611778,-1.27091191,978,116.41313144,-0.01694983,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
51,121,3,3.5,0.4,4,0.03,0.15,-0.66319278,9933.68072154,-0.80194375,579,69.27575999,-0.0333104,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
52,555,8,3.5,0.4,4,0.05,0.15,-0.67011317,9932.98868338,-0.8769018,525,104.62691443,-0.02859466,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
53,283,5,3,0.4,4,0.03,0.15,-0.6703748,9932.96252045,-0.82673981,691,82.68651439,-0.0332638,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
