rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
1,656,13,2.5,0.4,3,0.03,0.3,0.54553377,10054.55337687,-0.69858706,948,113.35914182,0.00900946,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
2,674,13,2.5,0.5,3,0.03,0.3,0.4382331,10043.82330966,-0.810913,1049,125.0270087,0.00753963,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
3,716,13,3,0.4,4,0.03,0.3,0.41900149,10041.90014864,-0.72689645,1014,121.73242024,0.00759142,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
4,752,13,3,0.6,4,0.03,0.3,0.3529011,10035.29011023,-0.64440798,1006,120.66782717,0.00621955,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
5,734,13,3,0.5,4,0.03,0.3,0.25436599,10025.4365991,-0.6823531,1019,122.31933388,0.00451204,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
6,806,13,3.5,0.6,4,0.03,0.3,0.22533405,10022.53340482,-0.69182886,1045,124.92446562,0.00390084,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
7,718,13,3,0.4,4,0.05,0.3,0.17877323,10017.87732253,-0.81948572,842,169.24028218,0.00297428,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
8,824,13,4,0.4,4,0.03,0.3,0.1714799,10017.14798954,-0.61223372,983,117.51015484,0.00292446,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
9,770,13,3.5,0.4,4,0.03,0.3,0.16588589,10016.58858883,-0.80023141,1019,121.51059614,0.00289063,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
10,788,13,3.5,0.5,4,0.03,0.3,0.16110124,10016.11012416,-0.82676017,1015,121.39052143,0.00275787,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
11,608,8,4,0.4,4,0.03,0.3,0.11416379,10011.41637921,-0.60056595,1013,120.99248177,0.00204881,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
12,648,8,4,0.6,4,0.08,0.3,0.10967337,10010.96733716,-0.83373611,662,204.4010034,0.00167576,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
13,698,13,2.5,0.6,4,0.03,0.3,0.1066899,10010.66898953,-0.6992231,978,116.42804105,0.00198493,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
14,230,5,2.5,0.4,4,0.03,0.3,0.07703037,10007.70303694,-0.60568706,725,87.10916875,0.0015783,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
15,266,5,2.5,0.6,4,0.03,0.3,0.06037836,10006.0378359,-0.76304017,894,106.78015247,0.00121913,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
16,692,13,2.5,0.6,3,0.03,0.3,0.05906038,10005.90603789,-1.11504837,1086,128.75895845,0.00108864,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
17,715,13,3,0.4,4,0.03,0.15,0.04013871,10004.0138712,-0.50284756,775,93.23267876,0.00128411,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
18,643,8,4,0.6,4,0.03,0.15,0.03813897,10003.81389666,-0.44205577,747,89.77563721,0.00117668,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
19,710,13,3,0.4,3,0.03,0.3,0.02285652,10002.28565193,-1.05177801,975,115.57446021,0.00044173,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
20,645,8,4,0.6,4,0.05,0.15,0.00646748,10000.64674764,-0.44125303,551,110.3539749,0.00022512,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
21,646,8,4,0.6,4,0.05,0.3,-0.0303246,9996.96754046,-0.99482104,816,163.62322556,-0.00038992,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
22,248,5,2.5,0.5,4,0.03,0.3,-0.03618063,9996.3819372,-0.85389722,811,97.41575468,-0.00068534,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
