rank,run_id,max_abs_weight,volume_lookback,spike_multiplier,volume_drop_ratio,pullback_tolerance_pct,breakout_buffer_pct,step_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
1,1217,1,8,4,0.35,0.3,0,0.2,1.48782531,10148.7825315,-1.03580362,106,104.98551366,0.02178759,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
2,1225,1,8,4,0.35,0.5,0,0.1,1.39412068,10139.41206828,-0.9028475,114,58.59196862,0.02262046,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
3,1216,1,8,4,0.35,0.3,0,0.1,1.36018952,10136.01895227,-0.72234242,109,55.71465678,0.02703091,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
4,1234,1,8,4,0.35,0.8,0,0.1,1.34462338,10134.46233841,-0.84717516,116,59.39610092,0.02277379,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
5,1226,1,8,4,0.35,0.5,0,0.2,0.92685453,10092.68545253,-1.03580362,109,108.92981055,0.0139071,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
6,1235,1,8,4,0.35,0.8,0,0.2,0.90188233,10090.18823315,-1.03580362,111,110.53600906,0.01375472,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
7,583,1,3,4,0.35,0.5,0.1,0.1,0.703199,10070.31989952,-0.78363421,141,73.18960185,0.01462926,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
8,1219,1,8,4,0.35,0.3,0.05,0.1,0.64467588,10064.46758767,-1.15639694,102,47.59654291,0.01053349,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
9,1220,1,8,4,0.35,0.3,0.05,0.2,0.63295459,10063.29545872,-1.20608909,98,87.11191488,0.00877457,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
10,628,1,3,4,0.65,0.3,0.1,0.1,0.58631202,10058.631202,-0.66271346,148,73.26469112,0.01307165,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
