rank,run_id,max_abs_weight,volume_lookback,spike_multiplier,volume_drop_ratio,pullback_tolerance_pct,breakout_buffer_pct,step_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
1,2452,1,21,4.5,0.2,0.1,0,0.2,3.6231715,10362.31715037,-1.37870112,59,53.97724893,0.03946964,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
2,1442,1,13,3.5,0.2,0.1,0,0.1,3.57577754,10357.57775356,-0.90284746,91,42.13782394,0.04107491,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
3,2460,1,21,4.5,0.2,0.1,0.05,0.2,3.53423049,10353.4230492,-1.69131236,57,53.91441744,0.03788857,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
4,1443,1,13,3.5,0.2,0.1,0,0.15,3.52996086,10352.99608571,-1.00119283,88,57.00707938,0.03913288,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
5,1170,1,8,5,0.2,0.3,0,0.1,3.50984802,10350.98480209,-0.90284746,73,37.76496104,0.04269215,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
6,2451,1,21,4.5,0.2,0.1,0,0.15,3.4886812,10348.86811993,-1.03537732,61,43.58542087,0.0401012,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
7,2456,1,21,4.5,0.2,0.1,0.02,0.2,3.48510054,10348.51005399,-1.69138209,58,53.89888808,0.03737711,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
8,2459,1,21,4.5,0.2,0.1,0.05,0.15,3.44767649,10344.76764878,-1.27050712,59,43.54847043,0.03915694,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
9,1323,1,8,6,0.2,0.3,0.05,0.15,3.42589849,10342.58984887,-0.90286535,55,43.32178769,0.04268756,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
10,2455,1,21,4.5,0.2,0.1,0.02,0.15,3.41078408,10341.07840766,-1.27055746,60,43.54234534,0.03874923,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
