rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
1,622,8,4,0.5,3,0.05,0.3,2.46865486,10246.8654859,-1.06088447,730,149.05671696,0.02337284,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
2,638,8,4,0.6,3,0.03,0.3,2.30244098,10230.24409819,-0.72586324,1013,120.7758865,0.02361244,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
3,620,8,4,0.5,3,0.03,0.3,2.29950707,10229.95070708,-0.81091944,1024,122.74568852,0.02322502,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
4,640,8,4,0.6,3,0.05,0.3,2.25914614,10225.91461351,-0.87825444,718,146.00372034,0.02191683,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
5,820,13,4,0.4,3,0.05,0.3,2.12685634,10212.68563397,-0.81741083,668,135.30621012,0.02013995,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
6,194,3,4,0.5,4,0.03,0.3,2.11917289,10211.91728922,-0.62032841,953,115.0791334,0.0239231,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
7,818,13,4,0.4,3,0.03,0.3,2.09712681,10209.71268126,-0.73244476,980,116.55095813,0.02151199,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
8,822,13,4,0.4,3,0.08,0.3,2.04025895,10204.02589491,-0.87038,500,154.10521871,0.01859041,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
9,624,8,4,0.5,3,0.08,0.3,1.98949787,10198.94978713,-1.71614869,562,175.92101718,0.01836863,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
10,642,8,4,0.6,3,0.08,0.3,1.77678118,10177.67811832,-1.67077184,556,173.39085151,0.01671095,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
11,196,3,4,0.5,4,0.05,0.3,1.74128902,10174.12890243,-0.77351329,758,153.41618518,0.01823931,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
12,550,8,3.5,0.4,3,0.05,0.3,1.73429638,10173.4296381,-0.78504663,766,155.14598782,0.01713688,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
13,548,8,3.5,0.4,3,0.03,0.3,1.6552641,10165.52640959,-0.71430557,1050,125.26770545,0.01780795,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
14,584,8,3.5,0.6,3,0.03,0.3,1.5634657,10156.3465703,-0.72023928,1051,125.25298513,0.01628928,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
15,566,8,3.5,0.5,3,0.03,0.3,1.4520627,10145.20627041,-0.76220729,1056,126.63729674,0.01489849,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
16,254,5,2.5,0.6,2,0.03,0.3,1.44856917,10144.85691658,-1.1772343,1303,156.25069126,0.01650216,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
17,552,8,3.5,0.4,3,0.08,0.3,1.40641204,10140.64120353,-1.11748153,584,181.43324614,0.01332124,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
18,604,8,4,0.4,3,0.05,0.3,1.34202187,10134.20218653,-1.27566497,688,139.22857043,0.01299998,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
19,568,8,3.5,0.5,3,0.05,0.3,1.21701835,10121.70183535,-1.03903703,792,160.44730592,0.01191007,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
20,836,13,4,0.5,3,0.03,0.3,1.20207367,10120.20736686,-1.16212438,921,109.87053452,0.01189789,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
21,858,13,4,0.6,3,0.08,0.3,1.16132103,10116.13210279,-1.40942547,494,152.77658398,0.01066216,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
22,619,8,4,0.5,3,0.03,0.15,1.15646777,10115.64677717,-0.64094539,653,79.18494338,0.02170005,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
23,578,8,3.5,0.6,2,0.03,0.3,1.154677,10115.46769984,-1.19896184,1227,145.65068512,0.01224672,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
24,586,8,3.5,0.6,3,0.05,0.3,1.14846612,10114.84661245,-0.98784784,798,161.14667774,0.01149237,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
25,606,8,4,0.4,3,0.08,0.3,1.14631205,10114.63120544,-1.79376408,534,165.490453,0.01068911,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
26,176,3,4,0.4,4,0.03,0.3,1.13096717,10113.0967172,-0.61656919,814,97.16818275,0.01277179,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
27,602,8,4,0.4,3,0.03,0.3,1.09147993,10109.14799301,-0.84500831,962,114.55967782,0.01132942,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
28,308,5,3,0.6,2,0.03,0.3,1.08609764,10108.60976425,-1.31064546,1266,151.41254116,0.0119332,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
