rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,min_price_move_pct,cooldown_bars,max_hold_bars,stop_loss_pct,take_profit_pct,max_trades_per_day,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
1,463,13,3,0.4,4,0.03,0.3,0.05,20,240,0.3,0.8,30,-0.12000854,9987.99914568,-0.34114221,401,74.31762713,-0.00902973,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
2,460,13,3,0.4,4,0.03,0.3,0.05,20,240,0.3,0.4,30,-0.14981134,9985.01886562,-0.22569076,384,66.45070182,-0.01302704,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
3,466,13,3,0.4,4,0.03,0.3,0.05,20,240,0.3,1.2,30,-0.20007043,9979.99295722,-0.38327972,419,85.35613999,-0.01253145,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
4,469,13,3,0.4,4,0.03,0.3,0.05,20,240,0.5,0.4,30,-0.20127541,9979.87245941,-0.31237344,399,71.70999454,-0.01855724,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
5,208,13,3,0.4,4,0.03,0.3,0.03,20,120,0.8,0.4,30,-0.22511915,9977.48808515,-0.4268531,426,81.12582958,-0.0204054,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
6,436,13,3,0.4,4,0.03,0.3,0.05,20,120,0.3,0.8,30,-0.2370364,9976.29635966,-0.44861371,392,67.10293495,-0.02105047,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
7,415,13,3,0.4,4,0.03,0.3,0.05,20,60,0.5,0.4,30,-0.25028248,9974.97175193,-0.32092418,380,59.22418288,-0.02933979,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
8,442,13,3,0.4,4,0.03,0.3,0.05,20,120,0.5,0.4,30,-0.25490174,9974.5098262,-0.35445789,397,66.64337863,-0.02613121,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
9,406,13,3,0.4,4,0.03,0.3,0.05,20,60,0.3,0.4,30,-0.27161534,9972.83846627,-0.34383939,370,55.62950507,-0.03288215,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
10,671,13,3,0.4,4,0.03,0.3,0.1,20,60,0.8,0.8,60,-0.27830884,9972.16911599,-0.32381788,288,42.88110599,-0.02564256,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
11,672,13,3,0.4,4,0.03,0.3,0.1,20,60,0.8,0.8,100,-0.27830884,9972.16911599,-0.32381788,288,42.88110599,-0.02564256,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
12,649,13,3,0.4,4,0.03,0.3,0.1,20,60,0.3,0.4,30,-0.2912362,9970.87637977,-0.32043208,236,30.43486879,-0.03951193,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
