rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
1,821,13,4,0.4,3,0.08,0.15,-3.71608273,9628.39172691,-4.15265379,1215,403.22773465,-0.10016587,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
2,863,13,4,0.6,4,0.08,0.15,-3.79719521,9620.28047924,-3.81224399,1396,456.6009255,-0.09341102,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
3,833,13,4,0.5,2,0.08,0.15,-3.89828718,9610.17128188,-3.90244766,1455,475.25851876,-0.10757389,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
4,839,13,4,0.5,3,0.08,0.15,-3.91235278,9608.76472232,-4.27138776,1260,420.00790088,-0.10512845,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
5,809,13,3.5,0.6,4,0.08,0.15,-3.97047916,9602.95208441,-3.98550083,1462,479.95639249,-0.09950852,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
6,851,13,4,0.6,2,0.08,0.15,-4.03243775,9596.75622467,-4.03576253,1468,479.43504783,-0.10898191,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
7,819,13,4,0.4,3,0.05,0.15,-4.03259183,9596.74081664,-4.2921369,1585,451.77881608,-0.1193821,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
8,857,13,4,0.6,3,0.08,0.15,-4.05491502,9594.50849841,-4.32639266,1378,454.10629893,-0.10932411,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
9,827,13,4,0.4,4,0.08,0.15,-4.12386904,9587.61309645,-4.16141847,1358,444.89215593,-0.10262504,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
10,785,13,3.5,0.5,3,0.08,0.15,-4.24151824,9575.84817562,-4.34296151,1435,476.49444357,-0.11349828,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
11,837,13,4,0.5,3,0.05,0.15,-4.31426779,9568.5732208,-4.49833742,1635,465.71768448,-0.12705409,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
12,755,13,3,0.6,4,0.08,0.15,-4.32285593,9567.71440742,-4.32528281,1567,516.00062292,-0.12089492,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
13,861,13,4,0.6,4,0.05,0.15,-4.32973377,9567.02662329,-4.33996802,1794,511.92142017,-0.12015502,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
14,845,13,4,0.5,4,0.08,0.15,-4.33982573,9566.01742682,-4.35478963,1392,455.39017966,-0.10660295,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
15,791,13,3.5,0.5,4,0.08,0.15,-4.42745771,9557.2542286,-4.4424079,1448,476.72553102,-0.11203859,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
16,803,13,3.5,0.6,3,0.08,0.15,-4.44602176,9555.39782387,-4.50573832,1526,502.74791491,-0.12018413,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
17,855,13,4,0.6,3,0.05,0.15,-4.47850541,9552.14945863,-4.54066657,1787,511.63040401,-0.13518932,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
18,773,13,3.5,0.4,4,0.08,0.15,-4.48046612,9551.95338804,-4.5154048,1393,456.18512306,-0.11375293,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
19,767,13,3.5,0.4,3,0.08,0.15,-4.49825995,9550.17400533,-4.57466089,1380,452.7026181,-0.12385813,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
20,849,13,4,0.6,2,0.05,0.15,-4.51005866,9548.99413397,-4.53205017,1918,536.5749946,-0.13619425,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
21,815,13,4,0.4,2,0.08,0.15,-4.534645,9546.53550027,-4.53808459,1447,475.84080969,-0.12699401,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
22,647,8,4,0.6,4,0.08,0.15,-4.58730969,9541.26903139,-4.61736527,1570,514.95409363,-0.13443346,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
23,817,13,4,0.4,3,0.03,0.15,-4.62083919,9537.91608087,-4.71632817,2285,513.86228313,-0.14386226,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
24,623,8,4,0.5,3,0.08,0.15,-4.63856454,9536.14354633,-4.7729273,1506,496.55268389,-0.12616054,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
25,749,13,3,0.6,3,0.08,0.15,-4.68033025,9531.96697548,-4.71173928,1759,582.24395364,-0.12554109,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
26,831,13,4,0.5,2,0.05,0.15,-4.6818329,9531.81670972,-4.68894524,1921,540.17945045,-0.14358715,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
27,593,8,3.5,0.6,4,0.08,0.15,-4.70736518,9529.26348186,-4.74133295,1703,555.81832379,-0.1363722,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
